C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,00:00:00,REGULAR,0007411940,0002515962                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,04:00:00,REGULAR,0007411942,0002515966                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,08:00:00,REGULAR,0007411945,0002515979                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,12:00:00,REGULAR,0007411969,0002516000                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,16:00:00,REGULAR,0007412028,0002516024                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/21/2020,20:00:00,REGULAR,0007412053,0002516040                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/22/2020,00:00:00,REGULAR,0007412067,0002516049                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/22/2020,04:00:00,REGULAR,0007412068,0002516049                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/22/2020,08:00:00,REGULAR,0007412071,0002516059                                            
A002,R051,02-00-00,42 ST-BRYANT PK,BDFM7,IND,03/22/2020,12:00:00,RECOVR AUD,0007412086,0002516073 
